iter	Passed	Remaining
935	12123	828
936	12135	815
937	12149	803
938	12163	790
939	12176	777
940	12190	764
941	12204	751
942	12217	738
943	12230	725
944	12243	712
945	12257	699
946	12271	686
947	12285	673
948	12302	661
949	12316	648
950	12330	635
951	12345	622
952	12359	609
953	12374	596
954	12387	583
955	12401	570
956	12416	557
957	12430	544
958	12445	532
959	12459	519
960	12471	506
961	12484	493
962	12496	480
963	12510	467
964	12524	454
965	12537	441
966	12550	428
967	12563	415
968	12576	402
969	12592	389
970	12605	376
971	12620	363
972	12633	350
973	12646	337
974	12657	324
975	12671	311
976	12685	298
977	12698	285
978	12711	272
979	12725	259
980	12739	246
981	12752	233
982	12765	220
983	12779	207
984	12792	194
985	12806	181
986	12819	168
987	12833	155
988	12846	142
989	12859	129
990	12868	116
991	12880	103
992	12894	90
993	12908	77
994	12918	64
995	12932	51
996	12944	38
997	12957	25
998	12971	12
999	12983	0
